talk,link,talk_type,review_count,status,abstract,notes,private_notes,reviewers,average_review_score
kudzbam: Fansites to Music Apps: Discovering Django through Your Passion Projects,https://cfp-2023.djangocon.africa/admin/talks/talk/12/change/,Regular talk - 25 minutes,4,S,"<p>This talk is specifically designed for newcomers to Django who may feel unsure or intimidated about diving into the framework. I will be drawing from my own personal experience and will emphasize the importance of pursuing projects aligned with one's passions as a means of overcoming obstacles and engaging in an enjoyable learning process.</p>
<p>The talk will showcase how passion-driven projects can serve as a gateway to learning Django. Examples such as creating a fansite for a beloved anime or developing a music app using Spotify's API will be shared to illustrate my learning experiences. By sharing the challenges encountered during these projects, I will highlight the valuable lessons learned and encourage attendees to embrace experimentation, creativity, and personalization in their own Django journey.</p>
<p>Additionally, the talk will provide practical advice for choosing a project that resonates with one's interests, sharing learning resources and the importance of seeking support and collaboration within the Django community will also be emphasized. This talk will be an engaging and informative talk that showcases the power of pursuing projects driven by one's passions when learning Django. It offers practical guidance, personal anecdotes, and valuable insights, making it an ideal session for newcomers seeking to overcome initial hesitations and embark on an enjoyable and rewarding Django development adventure.</p>",,,"k
hamub
Jess
Anna",1.75
psalmskalu: Continuous Integration and Testing in Django: Streamlining Your Development Workflow,https://cfp-2023.djangocon.africa/admin/talks/talk/15/change/,Regular talk - 45 minutes,2,S,"<p>In the fast-paced world of web development, ensuring the quality and stability of Django applications is paramount. Continuous Integration (CI) and testing practices play a crucial role in achieving this goal by automating the process of building, testing, and deploying Django applications. This talk will delve into the realm of CI and testing in Django, exploring how these practices can streamline your development workflow.</p>
<p>Attendees will learn about the key concepts behind CI and its benefits, including improved collaboration, faster feedback cycles, and reduced risk of regressions. We will discuss popular CI tools and frameworks compatible with Django, such as Jenkins, Travis CI, and GitLab CI/CD. Moreover, we will explore the integration of popular testing frameworks like pytest and Django's built-in testing framework into the CI pipeline.</p>
<p>The session will cover the essentials of creating a robust CI configuration that includes tasks such as running unit tests, functional tests, and integration tests. We will also delve into techniques for setting up code quality checks, code coverage analysis, and static analysis to ensure code reliability and maintainability.</p>
<p>By the end of this talk, attendees will have a solid understanding of how to implement CI and testing practices effectively in their Django projects. They will gain insights into optimizing the CI pipeline, interpreting test results, and integrating these practices seamlessly into their development workflow.</p>",,,"k
Anna",2.0
anointedngeorge: Improving Django and Python Developers' Lives,https://cfp-2023.djangocon.africa/admin/talks/talk/14/change/,Regular talk - 45 minutes,3,S,"<p>Abstract: Improving Django and Python Developers' Lives</p>
<p>Django and Python have emerged as powerful tools in the web development landscape, enabling developers to build robust and scalable applications. However, as with any technology, there are challenges and areas where developers can face obstacles. This talk aims to address these issues and provide valuable insights to improve the lives of Django and Python developers.</p>
<p>The abstracted talk will cover a wide range of topics, starting with an introduction to Django and Python for those new to the technologies. It will explore the inherent benefits of using Django and Python in web development, highlighting their popularity and versatility.</p>
<p>The focus will then shift towards enhancing developer productivity. Attendees will learn about various tools, libraries, and frameworks that can streamline their development workflow. Practical tips and techniques will be shared on optimising code, leveraging Django's built-in features, and effectively utilising third-party packages. These insights will help developers save time and effort, ultimately improving their overall productivity.</p>","Here are some key points that I intend to cover in my talk:

1. Introduction to Django and Python: I will provide a brief overview of Django and Python for those who are new to these technologies, explaining their benefits and why they are popular choices for web development.

2. Enhancing Developer Productivity: I will discuss various tools, libraries, and frameworks that can streamline the development process and improve overall productivity. This will include tips on optimising code, leveraging Django's built-in features, and utilising third-party packages.

3. Best Practices and Design Patterns: I will share industry-proven best practices and design patterns specific to Django and Python development. This will include guidance on structuring projects, managing database migrations, writing efficient queries, and ensuring security.

4. Testing and Debugging Techniques: I will highlight the importance of testing and debugging in Django development and demonstrate effective techniques for creating robust test suites and debugging common issues.

5. Continuous Learning and Growth: I will emphasise the significance of continuous learning and personal growth as a Django and Python developer. This will include suggestions for staying updated with the latest advancements, participating in the open-source community, and leveraging available resources.",,"k
hamub
Jess",1.5833333333333333
"OlayinkaAtobiloye: Revolutionize Your Django Development with GitHub Copilot: Tips, Tricks, and Best Practices",https://cfp-2023.djangocon.africa/admin/talks/talk/18/change/,Regular talk - 45 minutes,2,S,"<p>In Django development, maximizing productivity and streamlining the coding process is crucial. GitHub Copilot is an AI-powered code completion tool developed with OpenAI that can help. In this session, we'll explore how GitHub Copilot can boost your Django development efficiency.</p>
<p>We'll cover how to install and integrate Copilot with popular code editors or IDEs, and provide practical tips to make the most out of Copilot's intelligent code suggestions. Copilot can assist in creating Django models, generating view functions, automating repetitive code snippets, and more.</p>
<p>Learn how to integrate Copilot into your Django development workflow while maintaining code quality and following best practices. We'll also address the potential benefits, challenges, and ethical considerations associated with leveraging AI-powered tools like Copilot in your Django projects.</p>
<p>Whether you're a seasoned Django developer or just getting started, this session will equip you with valuable insights and strategies to turbocharge your Django development with GitHub Copilot. Join us for an immersive session packed with demonstrations, best practices, and real-world examples that showcase the powerful synergy between Django and GitHub Copilot, revolutionizing the way you write code.</p>",This is my second preferred topic to give a talk on.,,"k
muheue",2.0
OlayinkaAtobiloye: Breaking Barriers: Empowering Women in Python/Django for Success,https://cfp-2023.djangocon.africa/admin/talks/talk/19/change/,Regular talk - 25 minutes,2,S,"<p>The Python/Django community is enriched by the diverse perspectives and contributions of its members. However, women continue to be underrepresented in the tech industry, including within the Python/Django ecosystem. This session aims to address this gender disparity by exploring strategies to empower and support women in their Python/Django journey.</p>
<p>Join us for an empowering discussion as we highlight the experiences, challenges, and achievements of women in Python/Django. We will delve into the unique obstacles women face and provide actionable strategies to overcome them, paving the way for success in the community.</p>",This is my most preferred topic to give a talk on.,,"Anna
k",1.5
abdulhafeez1432: An evolving world of IoT with Django,https://cfp-2023.djangocon.africa/admin/talks/talk/21/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>The Internet of Things (IoT) has revolutionized the way we interact with the physical world around us. With the increasing demand for smart devices, the IoT landscape is rapidly evolving and creating new opportunities for developers. In this talk, we will explore how Django, a popular web framework, can be leveraged to build robust IoT applications.</p>
<p>I will begin by discussing the basics of IoT and how it works. Then, I will then delve into the role of Django in building IoT applications and the advantages it provides over other frameworks. We will cover the various components of a Django-based IoT system, including sensors, controllers, and actuators, and how they interact with each other.</p>
<p>We will also explore the challenges faced in building IoT applications, including security, scalability, and real-time processing. We will discuss how Django addresses these challenges and provides solutions to build secure and scalable IoT applications.</p>
<p>Finally, we will showcase some real-world examples of Django-based IoT applications and the impact they have made in different industries. We will conclude by highlighting the potential for further growth and innovation in IoT with Django.</p>
<p>This talk is aimed at developers, designers, and entrepreneurs who are interested in learning about the evolving world of IoT. I will also discusses how Django can be used to build powerful and scalable IoT applications. Attendees will gain a comprehensive understanding of IoT, its challenges, and how Django can be leveraged to build IoT applications.</p>",,,k,2.0
Eric: Supercharging Django Admin with Typesense,https://cfp-2023.djangocon.africa/admin/talks/talk/44/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>In this workshop, we will explore the challenges of working with large datasets in the Django admin and discover how to achieve optimal performance by integrating Typesense (https://typesense.org), a powerful search engine, into your Django applications. This session is aimed at Django developers and administrators who deal with data-intensive applications and seek ways to enhance their productivity and user experience.</p>
<p>Attendees will gain insights into the common performance bottlenecks experienced in the Django admin and understand how Typesense can address these challenges effectively. We will discuss the benefits of using Typesense for search functionality, including its speed, scalability, and ease of integration. By leveraging Typesense, attendees will learn how to significantly improve search performance, resulting in a smoother and more efficient user experience.</p>
<p>Throughout the talk, we will cover practical examples and best practices for integrating Typesense with Django, including indexing and querying large datasets, optimizing search performance, and enhancing the user interface. Attendees will come away with a deeper understanding of the performance issues related to working with large data sets in the Django admin and a concrete strategy to leverage Typesense as a powerful search engine solution, enabling them to unlock superior performance and productivity in their Django applications.</p>","While I am the one giving the talk, this was made possible by the effort from the whole software team at Siege Software.",,hamub,2.0
abdulhafeez1432: Django and IoT Analytics: Extracting Insights from Sensor Data,https://cfp-2023.djangocon.africa/admin/talks/talk/22/change/,Regular talk - 25 minutes,1,S,"<p>In the era of the Internet of Things (IoT), vast amounts of sensor data are generated by connected devices. Effectively analyzing and extracting insights from this data is essential for making informed decisions and optimizing IoT systems. This session will focus on leveraging the power of Django to perform analytics on sensor data and extract valuable insights.</p>
<p>During this session, I will explore the integration of Django, a powerful web framework, with IoT analytics techniques. Participants will learn how to design and develop Django-based data pipelines that collect, preprocess, and store sensor data efficiently. We will discuss strategies for handling data ingestion, storage, and retrieval while ensuring data integrity and scalability.</p>
<p>Participants will gain insights into applying various analytics techniques to sensor data using Django. We will cover topics such as data aggregation, anomaly detection, pattern recognition, and predictive modeling. Through practical examples, participants will learn how to leverage Django's data manipulation and computation capabilities to perform advanced analytics on IoT sensor data.</p>
<p>Furthermore, we will discuss visualization techniques for presenting analytics results user-friendly. Participants will explore Django's integration with charting libraries and learn how to create dynamic and interactive visualizations of IoT data.</p>
<p>I will also delve into IoT analytics challenges, including real-time processing and scalability. Participants will discover how Django can address these challenges through asynchronous processing, caching mechanisms, and distributed computing frameworks.</p>
<p>By the end of this session, participants will understand how Django can be used to perform analytics on IoT sensor data. They will also extract valuable insights. They will be equipped with the knowledge and tools to design and implement robust analytics pipelines using Django. This will enable them to unlock the full potential of their IoT systems.</p>
<p>This session is ideal for developers, data scientists, and IoT enthusiasts interested in leveraging Django for sensor data analytics. Participants should have a basic understanding of Django and familiarity with IoT concepts and sensor data.</p>",,,hamub,2.0
FremahA: Unlocking Django's Potential: Exploring GraphQL Integration,https://cfp-2023.djangocon.africa/admin/talks/talk/70/change/,Regular talk - 25 minutes,0,S,"<p>In this talk, we will delve into the world of GraphQL and demonstrate how it can transform your Django applications.</p>
<p>We will start by providing a comprehensive introduction to GraphQL, understanding its core principles, and comparing it to traditional REST APIs. Then, we will dive into the various ways to integrate GraphQL into your Django projects, exploring the libraries and tools available that simplify the process.</p>
<p>Throughout the session, we will explore the benefits of using GraphQL with Django, such as increased efficiency, reduced network traffic, and improved developer experience. We will uncover how GraphQL seamlessly integrates with Django's ORM, allowing for flexible querying, efficient data fetching, and seamless schema stitching.</p>
<p>Moreover, we will showcase real-world examples of GraphQL integration in Django applications, highlighting the enhanced data-fetching capabilities, custom resolvers, and the power of GraphQL mutations. We will discuss best practices and strategies for optimizing performance, securing your GraphQL APIs, and handling complex data relationships.</p>
<p>By the end of this talk, you will have a deep understanding of the value and potential that GraphQL integration brings to Django development. You will be equipped with the knowledge and tools to unlock the full power of Django through GraphQL, enabling you to build efficient, flexible, and scalable APIs.</p>",,,,
flaper87: From idea to production,https://cfp-2023.djangocon.africa/admin/talks/talk/20/change/,Regular talk - 45 minutes,4,S,"<p>It doesn't matter if you are a machine producing 1k ideas per second or if you have one every now and then under the shower. Chances are that you've always wanted to take some of those ideas to reality, even if just for the fun of it. </p>
<p>Going from idea to production can feel daunting at times. It always seems like we need big and complex architectures for anything to be considered ""production-worthy"". Truth is, the simpler your deployment and architecture is, the faster you will get to market and the sooner you can test your idea and, hopefully, make money.</p>
<p>In this talk we will take you through a complete journey a website takes - from conception to running in production. We start with identifying the simplest architecture needed for an idea, how to quickly setup your local development environment (Developer experience exists, and it's extremely important), and finally we will deploy our code to production. We will answer things like:</p>
<ul>
<li>Do you need a DB?</li>
<li>How can you manage your dependencies?</li>
<li>Do you need containers?</li>
<li>Do you need container engines?</li>
<li>etc.</li>
</ul>
<p>We will demystify the devops concept and show how simple it can be for you to go live. You will find useful tips and processes, whether you are beginner or an experience Djangonaut.</p>",,,"k
hamub
muheue
Anna",1.6875
Kandoza: Data Analysis with Python,https://cfp-2023.djangocon.africa/admin/talks/talk/23/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>Python is increasingly the most popular choice of programming language for data analysts because it is designed to be simple, efficient, and easy to read and write. at the very beginning of the workshop, we will learn the basics of using jupyter notebook editor, like how to use it, run the cells, write the codes and display the outputs.</p>
<p>The workshop is mainly going to focus on the core engines of the Data Analysis: Data Manipulation, Data Analysis, Data Visualization, Data Cleaning and Pre-processing, and Big Data Analytics by using variety of python libraries such as NumPy, Pandas, Seaborn, Matplotlib and  many more.
These are just a few examples of the many Python libraries available for data analytics. Python's versatility, combined with its rich ecosystem, makes it a preferred choice for data analysis tasks. Whether you're working with small or large datasets, Python provides the tools and flexibility needed to analyse and gain insights from your data.</p>
<p>In details with data analysis steps and its supported libraries:</p>
<p>Data Manipulation:</p>
<p>NumPy: A fundamental library for scientific computing in Python, providing support for large, multi-dimensional arrays and matrices.</p>
<p>pandas: A powerful library for data manipulation and analysis. It offers data structures like DataFrames, which allow for efficient handling of structured data.</p>
<p>Data Analysis:</p>
<p>SciPy: A library built on top of NumPy that provides additional functionality for scientific computing, including statistical analysis, optimization, signal processing, and more.
scikit-learn: A popular machine learning library that offers a wide range of algorithms for tasks such as classification, regression, clustering, and dimensionality reduction.
statsmodels: A library that focuses on statistical modeling and testing. It provides tools for statistical analysis, econometrics, time series analysis, and more.</p>
<p>Data Visualization:</p>
<p>Matplotlib: A comprehensive plotting library that allows you to create a wide variety of static, animated, and interactive visualizations.
Seaborn: Built on top of Matplotlib, Seaborn provides a higher-level interface for statistical graphics. It simplifies the creation of aesthetically pleasing visualizations.
Plotly: A library that enables the creation of interactive visualizations, including interactive charts, plots, and dashboards.</p>
<p>Data Cleaning and Pre-processing:</p>
<p>pyjanitor: A library that extends pandas functionality for data cleaning and pre-processing. It provides a wide range of functions to handle missing values, duplicates, inconsistent data, and more.
scikit-learn: Alongside its machine learning capabilities, scikit-learn also offers tools for data pre-processing, including handling missing values, feature scaling, encoding categorical variables, and feature selection.</p>
<p>Big Data Analytics:</p>
<p>PySpark: A Python library for Apache Spark, a powerful framework for distributed data processing. PySpark allows you to handle large-scale datasets and perform distributed data analysis and machine learning tasks.</p>
<p>Audiences: Beginners and intermediates</p>
<p>After the workshop, the audiences will be equipped with basics knowledge such as:</p>
<p>Describe Python data acquisition and analysis techniques.</p>
<p>Understand basic Python logic and functions.</p>
<p>Import various data formats into a data frame in Python and manipulate it for analysis.</p>
<p>Conduct statistical analysis and visualization with Python.</p>",None,,sheena,-0.25
robert: Multi-Tenancy in Django: Scaling Applications for Multiple Clients,https://cfp-2023.djangocon.africa/admin/talks/talk/24/change/,Regular talk - 25 minutes,1,S,"<p>In this talk, we will explore the fascinating world of multi-tenancy in Django, a popular web framework for Python. Our audience consists of Django developers, software architects, and tech enthusiasts who are interested in building scalable applications that can serve multiple clients or tenants. By attending this talk, participants will gain a comprehensive understanding of multi-tenancy concepts, techniques, and best practices, as well as practical insights into implementing multi-tenant architectures in Django.</p>
<p>Description:
The audience will benefit from this talk by deepening their understanding of multi-tenancy and acquiring practical knowledge to effectively implement it in Django. We will start by introducing the concept of multi-tenancy and discussing various use cases where it is relevant, such as SaaS (Software as a Service) applications, enterprise software, and multi-client systems.</p>
<p>We will then delve into the different approaches to implementing multi-tenancy in Django, including database separation, schema-based separation, and URL routing. We will cover the pros and cons of each approach, considering factors such as scalability, security, and ease of maintenance. Furthermore, we will explore techniques for managing tenant-specific data, such as database partitioning, tenant-aware querysets, and caching strategies.</p>
<p>Additionally, we will address the challenges and considerations that arise when implementing multi-tenancy, including tenant isolation, security concerns, performance optimization, and handling tenant-specific configurations. Throughout the talk, we will share real-world examples, best practices, and lessons learned from building multi-tenant applications in Django.</p>
<p>By the end of the talk, the audience will have a solid understanding of multi-tenancy in Django and will be equipped with practical knowledge and strategies to design, develop, and scale multi-tenant applications effectively. They will gain insights into the trade-offs involved in choosing different approaches and techniques, enabling them to make informed decisions when implementing multi-tenancy in their own projects.</p>",,,sheena,0.75
GeezerCodes: Beefing Up Your networks layer using a plugin based Architecture In Django,https://cfp-2023.djangocon.africa/admin/talks/talk/25/change/,Regular talk - 25 minutes,1,S,"<p>In this engaging talk, we will delve into the exciting world of network layers and explore how to enhance their capabilities using a plugin-based architecture in Django. The network layer forms a crucial component of any web application, responsible for handling requests and responses, data communication, and overall system performance. By leveraging Django's powerful framework and adopting a plugin-based approach, developers can significantly boost their network layer's functionality, flexibility, and scalability.</p>
<p>The session will commence with an overview of Django's architecture and its built-in network layer capabilities. We will then dive into the concept of plugin-based architecture, discussing its benefits and why it is an effective approach for expanding Django's network layer. Attendees will gain a clear understanding of how plugins can extend the core functionalities of Django, making it easier to incorporate additional features and adapt to changing requirements.</p>
<p>Throughout the talk, we will explore various practical use cases where plugin-based architecture proves invaluable for network layer enhancement. These examples will cover scenarios such as integrating third-party APIs, implementing custom authentication mechanisms, optimizing data serialization and deserialization, and more. By showcasing real-world implementations, attendees will grasp the versatility and power of a plugin-based approach in Django.</p>
<p>Furthermore, we will discuss best practices and considerations when designing and implementing plugins in Django's network layer. This will include strategies for ensuring compatibility, managing dependencies, maintaining code modularity, and handling versioning. Attendees will walk away with practical insights and actionable tips for building robust and maintainable network layers in Django, empowered to leverage plugins effectively in their own projects.</p>",,,sheena,1.0
Malick: DevSecOps in Action: Security Best Practices for Django Applications,https://cfp-2023.djangocon.africa/admin/talks/talk/26/change/,Tutorial/Workshop (2 - 4 hours),2,S,"<p>In today's digital landscape, the security of web applications is paramount. As Django developers, it is essential to understand and implement DevSecOps practices to ensure the resilience and protection of our Django applications. This workshop aims to provide a practical and hands-on experience in integrating security best practices into Django projects using the DevSecOps approach.</p>
<p>The workshop will begin by introducing the fundamental concepts of DevSecOps and its relevance to Django application security. Participants will learn about the key principles and methodologies that combine development, security, and operations to create a secure development lifecycle. We will then dive into practical exercises, guiding attendees through the implementation of security best practices specific to Django applications.</p>
<p>Join us in this interactive session to strengthen your understanding of DevSecOps and learn how to implement security best practices in Django applications.</p>",,,"Anna
sheena",1.875
